country_iso3,country_name,region,income_group,expected_schooling,gdp_per_capita_ppp,health_spending_ppp,life_expectancy,obesity_prevalence,physicians_density,population,tobacco_prevalence,under5_mortality,predicted_life_expectancy_loo,residual_loo,absolute_residual_loo,prediction_band_low,prediction_band_high,position,cooks_distance,leverage,pc1,pc2,cluster_k2,cluster_k4,stable_all_specs
IND,India,South Asia,Lower middle income,11.94596,6301.67346968236,195.065786039975,69.3779891,4.8691355,7.23,1328024498.0,31.6,43.7,68.25751301892626,1.1204760810737326,1.1204760810737326,63.789115293875206,72.72591074397732,within,0.0004991291170213359,0.031010289621101774,1.5383601937437885,1.2722738459200464,2,3,True
IRL,Ireland,Europe & Central Asia,High income,18.70903,80815.6415277345,5094.93823964345,81.13790588,25.680992,31.19,4701957.0,23.4,3.7,82.3129462493375,-1.175040369337495,1.175040369337495,77.84454852428644,86.78134397438856,within,0.0003948305957796345,0.0223050561798079,-2.8573418642077475,-0.41446500118670415,1,1,True
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,,14841.9048340737,1147.52076688832,77.27827213,21.504161,10.95,82619362.0,14.8,15.5,72.92212359552704,4.356148534472965,4.356148534472965,68.45372587047598,77.3905213205781,within,0.004753917378715383,0.019540891216448156,-0.49497667379256,-0.8402308894998909,1,2,False
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,,13516.0271989173,313.40838756544,71.00605468,36.186728,7.18,37560535.0,20.8,29.3,70.56856934336095,0.43748533663905675,0.43748533663905675,66.1001716183099,75.036967068412,within,0.00011718650586135173,0.04775828245356717,0.22440994581778648,-0.2804632101705177,1,2,True
ISL,Iceland,Europe & Central Asia,High income,19.3477,61820.3618857662,4000.06947783979,82.12605142,19.651191,37.73,330815.0,14.4,2.6,80.2234353725722,1.9026160474277987,1.9026160474277987,75.75503764752114,84.69183309762326,within,0.0012769230083932,0.027514428625237453,-2.5721667147784903,-1.1437927036206479,1,1,True
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,16.17113,40889.5989080834,2620.64548850889,81.91113219,22.663184,34.31,8380100.0,24.1,3.9,78.7372078160946,3.1739243739054075,3.1739243739054075,74.26881009104355,83.20560554114564,within,0.001707898546768897,0.013224127171454625,-2.2973036616284883,-0.1499935772865369,1,1,True
ITA,Italy,Europe & Central Asia,High income,16.03337,47311.8255262709,3304.28620719502,82.20433624,15.456682,38.48,60229605.0,23.7,3.5,79.72009756707945,2.4842386729205543,2.4842386729205543,75.25169984202839,84.18849529213051,within,0.0016784825822365153,0.021214280127968395,-2.330636655320082,-0.148896884152833,1,1,True
JAM,Jamaica,Latin America & Caribbean,Upper middle income,12.33967,9931.89875715182,594.375336798722,72.28943851,28.609893,4.28,2802534.0,13.6,18.7,70.1681127973794,2.121325712620603,2.121325712620603,65.69971507232833,74.63651052243046,within,0.0012555753319973485,0.021763370694207747,0.15312163219424768,-0.8973911146701555,1,2,True
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,,10469.6306302225,669.035209462499,78.50941007,36.493459,27.26,9544729.0,33.2,16.5,71.8123139031653,6.697096166834697,6.697096166834697,67.34391617811426,76.28071162821635,above,0.020828896866627405,0.03622357386222108,-0.8792351531148171,0.8704071924449809,1,2,True
JPN,Japan,East Asia & Pacific,High income,,44589.3032854003,4392.67629747452,83.99957263,4.2680137,,127141000.0,22.3,2.8,79.89878402724723,4.100788602752772,4.100788602752772,75.43038630219618,84.36718175229828,within,0.011491955028254138,0.05330368712890577,-2.328012411523582,-0.17609914520863154,1,1,True
