country_iso3,class_id,ddd_2011,ddd_2021,absolute_change,percent_change,count,mean,median
LTU,antihypertensives,318.5,388.5,70.0,21.978021978021978,27,15.14765257196486,7.053051211284881
NLD,antihypertensives,298.2,299.8,1.6000000000000227,0.5365526492287133,27,15.14765257196486,7.053051211284881
NOR,antihypertensives,278.5,293.2,14.699999999999989,5.278276481149009,27,15.14765257196486,7.053051211284881
PRT,antihypertensives,244.2,264.1,19.900000000000034,8.149058149058163,27,15.14765257196486,7.053051211284881
SVK,antihypertensives,378.2000000000001,390.4,12.199999999999875,3.2258064516128693,27,15.14765257196486,7.053051211284881
SVN,antihypertensives,415.3,379.5,-35.80000000000001,-8.620274500361187,27,15.14765257196486,7.053051211284881
SWE,antihypertensives,357.7,401.5,43.80000000000001,12.244897959183676,27,15.14765257196486,7.053051211284881
TUR,antihypertensives,119.5,170.3,50.80000000000001,42.510460251046034,27,15.14765257196486,7.053051211284881
AUS,lipid_modifying,137.2,155.4,18.200000000000017,13.265306122448994,27,105.39431545416583,62.392241379310335
AUT,lipid_modifying,64.0,93.5,29.5,46.09375,27,105.39431545416583,62.392241379310335
BEL,lipid_modifying,121.5,159.4,37.900000000000006,31.193415637860085,27,105.39431545416583,62.392241379310335
CAN,lipid_modifying,92.8,150.7,57.89999999999999,62.392241379310335,27,105.39431545416583,62.392241379310335
CHL,lipid_modifying,27.5,157.2,129.7,471.63636363636357,27,105.39431545416583,62.392241379310335
CRI,lipid_modifying,34.6,60.2,25.6,73.98843930635837,27,105.39431545416583,62.392241379310335
CZE,lipid_modifying,92.0,169.1,77.1,83.80434782608695,27,105.39431545416583,62.392241379310335
DEU,lipid_modifying,67.7,125.1,57.39999999999999,84.7858197932053,27,105.39431545416583,62.392241379310335
DNK,lipid_modifying,114.7,195.2,80.49999999999999,70.18308631211855,27,105.39431545416583,62.392241379310335
ESP,lipid_modifying,89.5,135.7,46.19999999999999,51.620111731843565,27,105.39431545416583,62.392241379310335
EST,lipid_modifying,32.0,88.3,56.3,175.9375,27,105.39431545416583,62.392241379310335
FIN,lipid_modifying,95.4,167.3,71.9,75.36687631027254,27,105.39431545416583,62.392241379310335
FRA,lipid_modifying,97.9,100.9,3.0,3.0643513789581203,27,105.39431545416583,62.392241379310335
GBR,lipid_modifying,129.6,173.8,44.20000000000002,34.10493827160495,27,105.39431545416583,62.392241379310335
HRV,lipid_modifying,48.6,110.2,61.6,126.74897119341563,27,105.39431545416583,62.392241379310335
HUN,lipid_modifying,98.0,115.6,17.599999999999994,17.959183673469383,27,105.39431545416583,62.392241379310335
ISL,lipid_modifying,78.8,100.1,21.299999999999997,27.030456852791872,27,105.39431545416583,62.392241379310335
ITA,lipid_modifying,65.7,106.6,40.89999999999999,62.25266362252662,27,105.39431545416583,62.392241379310335
KOR,lipid_modifying,35.0,94.0,59.0,168.57142857142858,27,105.39431545416583,62.392241379310335
LTU,lipid_modifying,9.9,92.8,82.89999999999999,837.3737373737373,27,105.39431545416583,62.392241379310335
NLD,lipid_modifying,100.3,140.7,40.39999999999999,40.279162512462605,27,105.39431545416583,62.392241379310335
NOR,lipid_modifying,116.6,173.3,56.70000000000002,48.627787307032605,27,105.39431545416583,62.392241379310335
PRT,lipid_modifying,87.5,142.3,54.80000000000001,62.62857142857144,27,105.39431545416583,62.392241379310335
SVK,lipid_modifying,129.5,100.3,-29.200000000000003,-22.548262548262553,27,105.39431545416583,62.392241379310335
SVN,lipid_modifying,93.0,165.3,72.30000000000001,77.74193548387098,27,105.39431545416583,62.392241379310335
SWE,lipid_modifying,77.2,155.9,78.7,101.94300518134715,27,105.39431545416583,62.392241379310335
TUR,lipid_modifying,30.1,36.0,5.899999999999999,19.60132890365448,27,105.39431545416583,62.392241379310335
