country_iso3,specification,residual,position,predictive_r_squared,rmse_years,stable_all_specs
SAU,main,-2.56922470836237,within,0.7159528927808063,4.02105072722721,True
SEN,main,3.7445671233032556,within,0.7159528927808063,4.02105072722721,True
SGP,main,0.6086393840633235,within,0.7159528927808063,4.02105072722721,True
SLB,main,0.5922281275257575,within,0.7159528927808063,4.02105072722721,True
SLE,main,-8.803653916877884,below,0.7159528927808063,4.02105072722721,False
SLV,main,2.6545618662322426,within,0.7159528927808063,4.02105072722721,True
SRB,main,-0.7339167287144193,within,0.7159528927808063,4.02105072722721,True
STP,main,4.930326164952888,above,0.7159528927808063,4.02105072722721,False
SVK,main,-1.5376032401470496,within,0.7159528927808063,4.02105072722721,True
SVN,main,1.9774303258453472,within,0.7159528927808063,4.02105072722721,True
SWE,main,-0.04069454017398755,within,0.7159528927808063,4.02105072722721,True
SWZ,main,-18.182791634476125,below,0.7159528927808063,4.02105072722721,True
SYC,main,-1.9696143171590137,within,0.7159528927808063,4.02105072722721,True
TCD,main,-4.34505960968486,within,0.7159528927808063,4.02105072722721,False
TGO,main,-0.8747202515264902,within,0.7159528927808063,4.02105072722721,True
THA,main,3.761402978337344,within,0.7159528927808063,4.02105072722721,True
TKM,main,-2.5777716721467385,within,0.7159528927808063,4.02105072722721,True
TLS,main,-1.0227907542430899,within,0.7159528927808063,4.02105072722721,False
TON,main,5.609733171062118,above,0.7159528927808063,4.02105072722721,False
TUN,main,4.361990603068847,within,0.7159528927808063,4.02105072722721,False
TUR,main,0.703429048783093,within,0.7159528927808063,4.02105072722721,True
TZA,main,2.5164842459495773,within,0.7159528927808063,4.02105072722721,True
UGA,main,1.6970549800156078,within,0.7159528927808063,4.02105072722721,True
UKR,main,-1.3032833426908184,within,0.7159528927808063,4.02105072722721,True
URY,main,0.24159869445396964,within,0.7159528927808063,4.02105072722721,True
USA,main,-3.9253725654034923,within,0.7159528927808063,4.02105072722721,False
UZB,main,0.6363617237264947,within,0.7159528927808063,4.02105072722721,True
VNM,main,2.8755848432378315,within,0.7159528927808063,4.02105072722721,True
VUT,main,1.779745836050779,within,0.7159528927808063,4.02105072722721,True
WSM,main,1.8310902139450036,within,0.7159528927808063,4.02105072722721,True
ZAF,main,-10.307209533962173,below,0.7159528927808063,4.02105072722721,True
ZMB,main,-4.196271629134451,within,0.7159528927808063,4.02105072722721,False
ZWE,main,-8.744491535708129,below,0.7159528927808063,4.02105072722721,True
AFG,with_under5,-2.1084562063340684,within,0.810499248432416,3.284353047851084,False
ALB,with_under5,2.7499975210504743,within,0.810499248432416,3.284353047851084,False
ARE,with_under5,1.891462759222975,within,0.810499248432416,3.284353047851084,True
ARG,with_under5,1.8586589652420429,within,0.810499248432416,3.284353047851084,True
ARM,with_under5,1.8501455693156146,within,0.810499248432416,3.284353047851084,True
AUS,with_under5,0.8674919643667209,within,0.810499248432416,3.284353047851084,True
AUT,with_under5,-0.3596329091852084,within,0.810499248432416,3.284353047851084,True
AZE,with_under5,3.5021770642652967,within,0.810499248432416,3.284353047851084,True
BDI,with_under5,0.8116345833844605,within,0.810499248432416,3.284353047851084,False
