country_iso3,country_name,cooks_distance,leverage,residual_loo
NER,Niger,5.923688147988002e-05,0.04046968893963953,0.3378937890053848
UZB,Uzbekistan,5.757392683613519e-05,0.011089599181401434,0.6363617237264947
MNE,Montenegro,5.0835719766631655e-05,0.024081170203666846,0.4057838359947681
LBY,Libya,4.544437204901194e-05,0.028794605714042257,-0.3508597372427005
PAK,Pakistan,2.2477972302217934e-05,0.025907708778792393,0.2601435790960238
URY,Uruguay,8.85739535122132e-06,0.011836272650282257,0.24159869445396964
MKD,North Macedonia,4.43577609211877e-06,0.026980078390209924,-0.1132432312274716
HRV,Croatia,3.3226181077246556e-06,0.017612816937433762,0.12130392450620775
POL,Poland,1.2384481237074642e-06,0.010734434216509334,-0.09486333286821491
AZE,Azerbaijan,1.0821761155254476e-06,0.016314787998126933,-0.07192954338343327
SWE,Sweden,6.838920706713608e-07,0.03221167986654765,-0.04069454017398755
