country_name,country_iso3,year,total_ddd_per_1000_day,access_ddd,watch_ddd,reserve_ddd,unclassified_ddd,access_share_pct,coverage_caveat,interpretive_quadrant
Estonia,EST,2020,10.905583,6.527811,4.0858207,0.019902054,0.009169553,61.33602348668763,,
Estonia,EST,2021,10.286839,6.5297675,3.6780322,0.022159442,0.005395622,63.79620101656498,,
Estonia,EST,2022,12.694928,7.9528103,4.430599,0.025324348,0.005578495,64.06162668049485,,
Estonia,EST,2023,12.99971,8.280699,4.5388966,0.023755237,0.007454994,64.43719645988635,,Volume < mediana · Access < 70%
Ethiopia,ETH,2020,10.509656,6.9545746,3.5544665,0.0,0.000615219,66.17318767529147,escopo de classes antimicrobianas parcial,
Ethiopia,ETH,2021,12.597177,8.512176,4.085001,0.0,0.0,67.57209174722242,escopo de classes antimicrobianas parcial,
Ethiopia,ETH,2022,11.317588,8.186794,3.130794,0.0,0.0,72.33691489741454,escopo de classes antimicrobianas parcial,
Ethiopia,ETH,2023,10.923886,6.29901,4.623781,1.06e-06,0.0010945781,57.66271848730564,escopo de classes antimicrobianas parcial,Volume < mediana · Access < 70%
Finland,FIN,2016,16.634512,12.818581,3.589204,0.016447948,0.0,78.04675591599506,,
Finland,FIN,2017,15.12046,11.696398,3.2199981,0.015267186,0.0,78.33285398932482,,
Finland,FIN,2018,14.794249,11.38048,3.2149124,0.018430846,7.2e-05,77.87437783307621,,
Finland,FIN,2019,14.116756,11.058665,2.8770542,0.017621007,8.19e-05,79.2541422111226,,
Finland,FIN,2020,11.45481,8.65564,2.6245265,0.017506553,8.42e-07,76.61435513580116,,
Finland,FIN,2021,10.922393,8.250245,2.5229115,0.016974175,6.554e-05,76.46056508713824,,
Finland,FIN,2022,12.110314,9.301809,2.6526556,0.017043157,0.000135479,77.69868193222192,,
Finland,FIN,2023,12.567326,9.833991,2.5739245,0.01955624,4.65e-05,79.13077100420332,,Volume < mediana · Access ≥ 70%
France,FRA,2016,26.10328,18.218845,7.357987,0.043401808,0.19422139,70.5761359682366,escopo de classes antimicrobianas parcial,
France,FRA,2017,25.172579,17.699062,6.9241557,0.040472567,0.21651903,71.13711057942794,escopo de classes antimicrobianas parcial,
France,FRA,2018,25.67881,18.050247,6.4313765,0.058513563,0.8435075,71.10975319245766,escopo de classes antimicrobianas parcial,
France,FRA,2019,25.398994,18.180037,6.022559,0.07021991,0.817315,72.45891647681323,escopo de classes antimicrobianas parcial,
France,FRA,2020,20.63046,14.449037,5.0667367,0.079609625,0.7729299,70.93880008809616,escopo de classes antimicrobianas parcial,
France,FRA,2021,21.915949,15.774223,5.042699,0.083354086,0.7727859,72.78262301002769,escopo de classes antimicrobianas parcial,
France,FRA,2022,24.703413,17.536797,6.1040096,0.08743341,0.7123455,71.75276955957017,escopo de classes antimicrobianas parcial,
France,FRA,2023,24.5361,17.766901,5.8061075,0.11034215,0.59471947,73.18086203797488,escopo de classes antimicrobianas parcial,Volume ≥ mediana · Access ≥ 70%
Gabon,GAB,2020,16.961391,12.78033,2.9684896,0.0,0.035851326,80.96671802608601,escopo de classes antimicrobianas parcial,
Gabon,GAB,2021,24.650986,13.877853,4.688583,0.09036543,0.08620369,74.04283844105358,escopo de classes antimicrobianas parcial,
Gabon,GAB,2023,12.2314625,7.732518,3.3040614,0.020546934,0.20008719,68.68944951176888,escopo de classes antimicrobianas parcial,Volume < mediana · Access < 70%
United Kingdom,GBR,2017,18.994778,12.638974,6.2323356,0.06974289,0.05372626,66.53920093699432,somente setor público reportado,
