country_iso3,country_name,region,income_group,expected_schooling,gdp_per_capita_ppp,health_spending_ppp,life_expectancy,obesity_prevalence,physicians_density,population,tobacco_prevalence,under5_mortality
SYC,Seychelles,Sub-Saharan Africa,High income,14.19938,27032.2083880002,940.509809515496,73.16237091,27.369672,,93419.0,20.3,14.6
TCD,Chad,Sub-Saharan Africa,Low income,7.34935,2822.57929900014,80.8957594269927,57.84629101,4.9044546,0.48,14647621.0,8.4,128.7
TGO,Togo,Sub-Saharan Africa,Lower middle income,,2588.27260980499,117.430109041544,61.52164894,8.4336579,0.47,7071502.0,8.2,75.2
THA,Thailand,East Asia & Pacific,Upper middle income,,18814.0408554566,608.321119856769,76.97043175,10.610157,4.53,70540795.0,20.8,11.9
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,,12926.6637306966,800.770845675657,68.83222809,18.314156,19.74,6215770.0,7.7,43.2
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,,4467.80007184896,238.975313867873,67.83593705,1.6386464,6.9,1205131.0,47.9,60.2
TON,Tonga,East Asia & Pacific,Upper middle income,,6195.43302733786,231.881912048992,72.46352791,65.729207,,106095.0,32.3,11.9
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,14.89108,12802.7917211433,669.961007011244,76.78627014999998,23.235148,12.72,11402264.0,27.3,18.2
TUR,Turkiye,Europe & Central Asia,Upper middle income,17.32137,25984.8027306177,1040.8461041687,76.68525905,29.611146,17.65,78218479.0,31.5,13.3
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,8.52868,3111.44458007813,82.0802315119814,65.15719683,7.8943603,,52020962.0,12.6,54.3
UGA,Uganda,Sub-Saharan Africa,Low income,,2520.0201028843,116.622069083477,64.2155816,5.5833004,0.97,37531446.0,11.6,57.9
UKR,Ukraine,Europe & Central Asia,Upper middle income,,15403.7099609375,733.095386435762,72.14894514,22.71376,,45784896.0,29.3,9.5
URY,Uruguay,Latin America & Caribbean,High income,16.34381,28941.6184540581,1844.45287445441,77.09925201,27.366474,,3368017.0,24.0,8.9
USA,United States,North America,High income,16.19199,64367.7188912582,9200.93133248374,78.61058161,38.210881,25.37,321815121.0,22.0,6.8
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,11.75932,7792.23605983713,322.025456246766,69.42591804,23.264825,23.63,30749346.0,19.8,19.7
VNM,Viet Nam,East Asia & Pacific,Upper middle income,,9248.02396069622,361.439607536507,73.03125783,1.1170169,7.95,92823254.0,24.2,21.6
VUT,Vanuatu,East Asia & Pacific,Lower middle income,,3825.81231400229,124.431724580644,66.79010699,19.380923,,266101.0,25.3,18.6
WSM,Samoa,East Asia & Pacific,Upper middle income,,6433.1839621351,341.68405601797,70.01944065,58.061135,,201782.0,27.6,18.3
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,,14541.6748613669,1078.90839908691,63.26267522,29.275212,7.63,56723537.0,23.2,38.2
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,,3576.92544834125,147.84147758589,60.4135173,7.9117604,,16399089.0,15.9,60.2
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,,5102.73642537223,197.229218750743,57.4934476,11.120257,1.74,14399013.0,13.9,59.2
